symbol
A
AAPL
ABBV
ABEV
ABNB
ABT
ACGL
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEM
AEP
AER
AFL
AGNCL
AGNCM
AGNCN
AGNCO
AGNCP
AIG
AJG
ALC
ALGN
ALL
ALNY
AMAT
AMD
AME
AMGN
AMP
AMT
AMX
AMZN
ANET
ANSS
AON
APD
APH
APO
APOS
APP
APTV
AQNB
ARE
ARES
ARGD
ARGX
ARM
ASBA
ASML
ASX
ATO
AVB
AVGO
AVY
AWK
AXON
AXP
AZN
AZO
BA
BABA
BAC
BAH
BALL
BAM
BAP
BAX
BBD
BBDO
BBVA
BBY
BCE
BCS
BDX
BEKE
BG
BGNE
BHP
BIDU
BIIB
BK
BKDT
BKNG
BKR
BLDR
BLK
BMO
BMRN
BMY
BN
BNH
BNJ
BNS
BNTX
BP
BR
BRO
BSBR
BSX
BTI
BUD
BURL
BX
C
CAH
CARR
CAT
CB
CBOE
CBRE
CCEP
CCI
CCJ
CCL
CCZ
CDNS
CDW
CE
CEG
CFG
CG
CHD
CHKP
CHT
CHTR
CI
CINF
CL
CLX
CM
CMCSA
CME
CMG
CMI
CMS
CNC
CNI
CNP
CNQ
COF
COIN
COO
COP
COR
COST
CP
CPAY
CPNG
CPRT
CQP
CRBG
CRH
CRM
CRWD
CSCO
CSGP
CSL
CSX
CTAS
CTRA
CTSH
CTVA
CUK
CVE
CVNA
CVS
CVX
CX
D
DAL
DASH
DB
DD
DDOG
DE
DECK
DELL
DEO
DFS
DG
DGX
DHI
DHR
DIS
DKNG
DKS
DLR
DLTR
DOV
DOW
DRI
DTE
DUK
DUKB
DVN
DXCM
E
EA
EBAY
EC
ECCF
ECL
ED
EDR
EFX
EG
EIX
EL
ELV
EME
EMR
ENB
ENTG
EOG
EPD
EQIX
EQNR
EQR
EQT
ERIC
ERIE
ES
ESS
ET
ETN
ETR
EW
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FCNCA
FCX
FDS
FDX
FE
FER
FERG
FI
FICO
FIS
FITB
FITBI
FITBP
FLUT
FMX
FNV
FOX
FOXA
FSLR
FTNT
FTS
FTV
FWONA
FWONK
GD
GDDY
GE
GEHC
GEN
GEV
GFS
GIB
GILD
GIS
GLW
GM
GMAB
GOLD
GOOG
GOOGL
GPC
GPN
GRMN
GS
GSK
GWW
H
HAL
HBAN
HBANM
HBANP
HCA
HD
HDB
HEI
HES
HIG
HLN
HLT
HMC
HOLX
HON
HOOD
HPE
HPQ
HRL
HSBC
HSY
HUBB
HUBS
HUM
HWM
IBM
IBN
ICE
ICLR
IDXX
IEX
IFF
IHG
ILMN
IMO
INFY
ING
INTC
INTU
INVH
IOT
IP
IQV
IR
IRM
ISRG
IT
ITUB
ITW
IX
J
JBHT
JCI
JD
JHX
JNJ
JPM
K
KB
KDP
KEYS
KHC
KKR
KKRS
KLAC
KMB
KMI
KO
KOF
KR
KSPI
KVUE
L
LDOS
LEN
LH
LHX
LI
LII
LIN
LLY
LMT
LNG
LOW
LPLA
LRCX
LULU
LUV
LVS
LYB
LYG
LYV
MA
MAA
MAR
MAS
MCD
MCHP
MCK
MCO
MDB
MDLZ
MDT
MELI
MET
META
MFC
MFG
MKC
MKL
MLM
MMC
MMM
MNST
MO
MOH
MPC
MPLX
MPWR
MRK
MRNA
MRO
MRVL
MS
MSCI
MSFT
MSI
MSTR
MT
MTB
MTD
MU
MUFG
NDAQ
NEE
NEM
NET
NFLX
NGG
NKE
NMR
NOC
NOK
NOW
NRG
NSC
NTAP
NTES
NTR
NTRS
NU
NUE
NVDA
NVO
NVR
NVS
NWG
NWS
NWSA
NXPI
O
ODFL
OKE
OKTA
OMC
ON
ONON
ORAN
ORCL
ORLY
OTIS
OWL
OXY
PANW
PAYX
PBA
PBR
PCAR
PCG
PDD
PEG
PEP
PFE
PFG
PFH
PG
PGR
PH
PHG
PHM
PINS
PKG
PKX
PLD
PLTR
PM
PNC
PPG
PPL
PRU
PSA
PSTG
PSX
PTC
PUK
PWR
PYPL
QCOM
QRTEP
QSR
RACE
RBLX
RCI
RCL
REGN
RELX
RF
RIO
RIVN
RJF
RKT
RMD
ROK
ROL
ROP
ROST
RPRX
RS
RSG
RTX
RY
RYAAY
SAN
SAP
SBAC
SBUX
SCCO
SCHW
SE
SHEL
SHG
SHOP
SHW
SLB
SLF
SLMBP
SMCI
SMFG
SNAP
SNOW
SNPS
SNY
SO
SOJC
SOJD
SOJE
SONY
SPG
SPGI
SPOT
SQ
SRE
SREA
SSNC
STE
STLA
STLD
STM
STT
STX
STZ
SU
SUI
SW
SWKS
SYF
SYK
SYM
SYY
T
TAK
TBB
TBC
TCOM
TD
TDG
TDY
TEAM
TECK
TEF
TEL
TER
TEVA
TFC
TGT
TJX
TKO
TLK
TM
TME
TMO
TMUS
TOST
TPG
TPL
TRGP
TRI
TROW
TRP
TRU
TRV
TS
TSCO
TSLA
TSM
TSN
TT
TTD
TTE
TTWO
TU
TVE
TW
TXN
TXT
TYL
UAL
UBER
UBS
UL
ULTA
UMC
UNH
UNP
UPS
URI
USB
V
VALE
VEEV
VICI
VIK
VLO
VLTO
VMC
VOD
VRSK
VRSN
VRT
VRTX
VST
VTR
VZ
WAB
WAT
WBD
WCN
WDAY
WDC
WDS
WEC
WELL
WES
WFC
WIT
WLK
WM
WMB
WMG
WMT
WPM
WRB
WSM
WSO
WST
WTW
WY
XEL
XOM
XYL
YUM
ZBH
ZBRA
ZM
ZS
ZTO
ZTS
